,category,price
208,Two Wheelers,309400.0
209,Two Wheelers,260900.0
210,Bathing & Gromming ,500.0
211,Pet Food ,1200.0
212,Bathing & Gromming ,300.0
213,Bathing & Gromming ,275.0
214,Dry & Packaged Food ,150.0
215,Cooking Essentials ,1600.0
216,Cooking Essentials ,3500.0
217,Two Wheelers,253900.0
218,Two Wheelers,405446.0
219,Two Wheelers,385446.0
220,Two Wheelers,339946.0
221,Two Wheelers,383446.0
222,Cooking Essentials ,2800.0
223,Cooking Essentials ,1100.0
224,Cooking Essentials ,150.0
225,Dry & Packaged Food ,100.0
226,Cooking Essentials ,120.0
227,Organic Products,250.0
228,Two Wheelers,337946.0
229,Two Wheelers,367446.0
230,Two Wheelers,323946.0
231,Two Wheelers,273946.0
232,Two Wheelers,273946.0
233,Organic Products,205.0
234,Organic Products,680.0
235,Organic Products,720.0
236,Organic Products,660.0
237,Organic Products,690.0
238,Organic Products,630.0
239,Auto Accessories,4200.0
240,Auto Accessories,1675.0
241,Auto Accessories,399.0
242,Auto Accessories,650.0
243,Gloves ,550.0
244,Organic Products,950.0
245,Organic Products,950.0
246,Organic Products,1900.0
247,Fruits & Vegetables ,748.0
248,Fruits & Vegetables ,748.0
249,Dry & Packaged Food ,730.0
250,Auto Accessories,1950.0
251,Auto Accessories,750.0
252,Auto Accessories,2400.0
253,Auto Accessories,975.0
254,Auto Accessories,500.0
255,Auto Accessories,399.0
256,Auto Accessories,2950.0
257,Auto Accessories,350.0
258,Dry & Packaged Food ,1395.0
259,Dry & Packaged Food ,630.0
260,Dry & Packaged Food ,1200.0
261,Fruits & Vegetables ,600.0
262,Organic Products,950.0
263,Auto Accessories,650.0
264,Auto Accessories,650.0
265,Organic Products,950.0
266,Hygiene Essentials,140.0
267,Two Wheelers,241500.0
268,Two Wheelers,321500.0
269,Dry & Packaged Food ,140.0
270,Frozen Item,349.0
271,Two Wheelers,525500.0
272,Two Wheelers,790000.0
273,Frozen Item,439.0
274,Frozen Item,379.0
275,Two Wheelers,941500.0
276,Frozen Item,499.0
277,Frozen Item,439.0
278,Two Wheelers,1650000.0
279,Frozen Item,439.0
280,Cooking Essentials ,550.0
281,Two Wheelers,1550000.0
282,Four Wheeler,1425000.0
283,Cooking Essentials ,550.0
284,Cooking Essentials ,550.0
285,Two Wheelers,151000.0
286,Vegetables (Insecticides & Pesticides Free)   ,144.0
287,Cooking Essentials ,100.0
288,Two Wheelers,151000.0
289,Two Wheelers,169000.0
290,Cooking Essentials ,800.0
291,Dry & Packaged Food ,1000.0
292,Two Wheelers,165000.0
293,Dairy Products ,460.0
294,Cooking Essentials ,320.0
295,Dry & Packaged Food ,610.0
296,Cooking Essentials ,95.0
297,Cooking Essentials ,100.0
298,Dry & Packaged Food ,455.0
299,Hygiene Essentials,340.0
300,Beverages ,235.0
301,Cooking Essentials ,116.0
302,Dry & Packaged Food ,310.0
303,Cooking Essentials ,150.0
304,Cooking Essentials ,48.0
305,Cooking Essentials ,420.0
306,Cooking Essentials ,165.0
307,Cooking Essentials ,165.0
308,Sweets & Chocolates,430.0
309,Dairy Products ,190.0
310,Groceries,130.0
311,Dry & Packaged Food ,170.0
312,Dry & Packaged Food ,210.0
313,Dry & Packaged Food ,450.0
314,Dry & Packaged Food ,150.0
315,Hygiene Essentials,330.0
316,Cooking Essentials ,345.0
317,Dry & Packaged Food ,245.0
318,Beverages ,220.0
319,Dry & Packaged Food ,275.0
320,Dry & Packaged Food ,295.0
321,Dry & Packaged Food ,275.0
322,Dry & Packaged Food ,275.0
323,Dry & Packaged Food ,75.0
324,Cooking Essentials ,130.0
325,Cooking Essentials ,145.0
326,Cooking Essentials ,45.0
327,Hygiene & Cleaning Essentials,340.0
328,Hygiene & Cleaning Essentials,340.0
329,Dry & Packaged Food ,160.0
330,Dry & Packaged Food ,160.0
331,Cooking Essentials ,2720.0
332,Dry & Packaged Food ,350.0
333,Cooking Essentials ,230.0
334,Cooking Essentials ,950.0
335,Beverages ,485.0
336,Beverages ,485.0
337,Beverages ,485.0
338,Beverages ,485.0
339,Beverages ,485.0
340,Beverages ,485.0
341,Fruits & Vegetables ,700.0
342,Fruits & Vegetables ,400.0
343,Fruits & Vegetables ,140.0
344,Fruits & Vegetables ,170.0
345,Fruits & Vegetables ,310.0
346,Fruits & Vegetables ,180.0
347,Fruits & Vegetables ,160.0
348,Fruits & Vegetables ,350.0
349,Fruits & Vegetables ,250.0
350,Fruits & Vegetables ,180.0
351,Beverages ,300.0
352,Cooking Essentials ,145.0
353,Cooking Essentials ,270.0
354,Cooking Essentials ,270.0
355,Frozen Item,350.0
356,Frozen Item,800.0
357,Fruits & Vegetables ,180.0
358,Dry & Packaged Food ,210.0
359,Dry & Packaged Food ,560.0
360,Hygiene & Cleaning Essentials,170.0
361,Dry & Packaged Food ,258.0
362,Dry & Packaged Food ,110.0
363,Dry & Packaged Food ,240.0
364,Dry & Packaged Food ,255.0
365,Dry & Packaged Food ,120.0
366,Dry & Packaged Food ,55.0
367,Fruits & Vegetables ,863.0
368,Fruits & Vegetables ,450.0
369,Fruits & Vegetables ,500.0
370,Fruits & Vegetables ,69.0
371,Fruits & Vegetables ,518.0
372,Fruits & Vegetables ,120.0
373,Fruits & Vegetables ,600.0
374,Fruits & Vegetables ,58.0
375,Fruits & Vegetables ,5060.0
376,Fruits & Vegetables ,403.0
377,Fruits & Vegetables ,92.0
378,Fruits & Vegetables ,130.0
379,Fruits & Vegetables ,130.0
380,Fruits & Vegetables ,127.0
381,Fruits & Vegetables ,500.0
382,Fruits & Vegetables ,250.0
383,Fruits & Vegetables ,29.0
384,Fruits & Vegetables ,90.0
385,Fruits & Vegetables ,69.0
386,Fruits & Vegetables ,180.0
387,Fruits & Vegetables ,130.0
388,Sweets & Chocolates,75.0
389,Fruits & Vegetables ,69.0
390,Fruits & Vegetables ,104.0
391,Fruits & Vegetables ,75.0
392,Fruits & Vegetables ,288.0
393,Fruits & Vegetables ,69.0
394,Fruits & Vegetables ,184.0
395,Fruits & Vegetables ,350.0
396,Fruits & Vegetables ,115.0
397,Fruits & Vegetables ,90.0
398,Fruits & Vegetables ,196.0
399,Fruits & Vegetables ,161.0
400,Fruits & Vegetables ,69.0
401,Fruits & Vegetables ,58.0
402,Fruits & Vegetables ,138.0
403,Fruits & Vegetables ,58.0
404,Fruits & Vegetables ,150.0
405,Fruits & Vegetables ,110.0
406,Fruits & Vegetables ,58.0
407,Fruits & Vegetables ,184.0
408,Fruits & Vegetables ,150.0
409,Fruits & Vegetables ,127.0
410,Fruits & Vegetables ,92.0
411,Dry & Packaged Food ,140.0
412,Dry & Packaged Food ,530.0
413,Dry & Packaged Food ,600.0
414,Dry & Packaged Food ,210.0
415,Dry & Packaged Food ,210.0
416,Dry & Packaged Food ,60.0
417,Dry & Packaged Food ,480.0
418,Dry & Packaged Food ,480.0
419,Dry & Packaged Food ,480.0
420,Frozen Item,260.0
421,Cooking Essentials ,390.0
422,Cooking Essentials ,390.0
423,Groceries,40.0
424,Dry & Packaged Food ,460.0
425,Cooking Essentials ,175.0
426,Hygiene & Cleaning Essentials,72.0
427,Hygiene & Cleaning Essentials,128.0
428,Dry & Packaged Food ,48.0
429,Dry & Packaged Food ,115.0
430,Dry & Packaged Food ,38.0
431,Dry & Packaged Food ,10.0
432,Dry & Packaged Food ,48.0
433,Dry & Packaged Food ,51.0
434,Dry & Packaged Food ,33.0
435,Dry & Packaged Food ,10.0
436,Dry & Packaged Food ,76.0
437,Dry & Packaged Food ,10.0
438,Dry & Packaged Food ,257.0
439,Dry & Packaged Food ,257.0
440,Dry & Packaged Food ,105.0
441,Dry & Packaged Food ,189.0
442,Dry & Packaged Food ,95.0
443,Dry & Packaged Food ,299.0
444,Dry & Packaged Food ,304.0
445,Dry & Packaged Food ,304.0
446,Dry & Packaged Food ,280.0
447,Dry & Packaged Food ,86.0
448,Dry & Packaged Food ,428.0
449,Dry & Packaged Food ,48.0
450,Dry & Packaged Food ,504.0
451,Dry & Packaged Food ,67.0
452,Dry & Packaged Food ,68.0
453,Dry & Packaged Food ,48.0
454,Dry & Packaged Food ,504.0
455,Dry & Packaged Food ,504.0
456,Dry & Packaged Food ,504.0
457,Dry & Packaged Food ,1045.0
458,Dry & Packaged Food ,1007.0
459,Dry & Packaged Food ,91.0
460,Dry & Packaged Food ,9.0
461,Dry & Packaged Food ,19.0
462,Dry & Packaged Food ,19.0
463,Dry & Packaged Food ,19.0
464,Dry & Packaged Food ,19.0
465,Dry & Packaged Food ,342.0
466,Dry & Packaged Food ,71.0
467,Dry & Packaged Food ,342.0
468,Dry & Packaged Food ,333.0
469,Dry & Packaged Food ,280.0
470,Dry & Packaged Food ,19.0
471,Dry & Packaged Food ,185.0
472,Dry & Packaged Food ,280.0
473,Dry & Packaged Food ,333.0
474,Dry & Packaged Food ,10.0
475,Dry & Packaged Food ,428.0
476,Dry & Packaged Food ,523.0
477,Dry & Packaged Food ,10.0
478,Dry & Packaged Food ,200.0
479,Sweets & Chocolates,81.0
480,Dry & Packaged Food ,81.0
481,Dry & Packaged Food ,9.0
482,Sweets & Chocolates,81.0
483,Dry & Packaged Food ,76.0
484,Dry & Packaged Food ,10.0
485,Cooking Essentials ,20.0
486,Cooking Essentials ,97.0
487,Frozen Item,245.0
488,Frozen Item,2035.0
489,Cooking Essentials ,60.0
490,Dry & Packaged Food ,210.0
491,Dry & Packaged Food ,1060.0
492,Dry & Packaged Food ,1060.0
493,Dry & Packaged Food ,350.0
494,Beverages ,160.0
495,Cooking Essentials ,125.0
496,Covid-19 Safety Gears,1490.0
497,Cooking Essentials ,335.0
498,Covid-19 Safety Gears,2790.0
499,Cooking Essentials ,115.0
500,Covid-19 Safety Gears,420.0
501,Covid-19 Safety Gears,120.0
502,Cooking Essentials ,130.0
503,Covid-19 Safety Gears,120.0
504,Cooking Essentials ,235.0
505,Cooking Essentials ,130.0
506,Covid-19 Safety Gears,120.0
507,Covid-19 Safety Gears,1440.0
508,Dry & Packaged Food ,800.0
509,Cooking Essentials ,150.0
510,Covid ,180.0
511,Dairy Products ,950.0
512,Dry & Packaged Food ,600.0
513,Covid ,180.0
514,Covid ,180.0
515,Dry & Packaged Food ,600.0
516,Dry & Packaged Food ,640.0
517,Covid ,180.0
518,Cooking Essentials ,320.0
519,Dry & Packaged Food ,290.0
520,Covid ,180.0
521,Covid ,180.0
522,Cooking Essentials ,120.0
523,Cooking Essentials ,390.0
524,Covid ,150.0
525,Covid ,150.0
526,Sweets & Chocolates,480.0
527,Cooking Essentials ,230.0
528,Covid ,150.0
529,Covid ,150.0
530,Cooking Essentials ,615.0
531,Cooking Essentials ,690.0
532,Covid ,150.0
533,Covid ,4490.0
534,Sweets & Chocolates,255.0
535,Cooking Essentials ,530.0
536,Covid ,1890.0
537,Covid ,1250.0
538,Dairy Products ,250.0
539,Dairy Products ,250.0
540,Covid-19 Safety Gears,790.0
541,Covid-19 Safety Gears,1890.0
542,Dairy Products ,195.0
543,Cooking Essentials ,110.0
544,Covid-19 Safety Gears,2390.0
545,Covid-19 Safety Gears,110.0
546,Dry & Packaged Food ,160.0
547,Hygiene & Cleaning Essentials,300.0
548,Covid-19 Safety Gears,360.0
549,Covid-19 Safety Gears,7499.0
550,Hygiene & Cleaning Essentials,350.0
551,Covid-19 Safety Gears,189.0
552,Covid ,350.0
553,Cooking Essentials ,131.0
554,Cooking Essentials ,170.0
555,Covid ,700.0
556,Covid ,1100.0
557,Cooking Essentials ,120.0
558,Cooking Essentials ,130.0
559,Covid ,600.0
560,Covid ,600.0
561,Cooking Essentials ,80.0
562,Beverages ,160.0
563,Covid ,199.0
564,Covid-19 Safety Gears,150.0
565,Beverages ,160.0
566,Beverages ,40.0
567,Covid-19 Safety Gears,380.0
568,Covid-19 Safety Gears,400.0
569,Dry & Packaged Food ,45.0
570,Cooking Essentials ,110.0
571,Covid-19 Safety Gears,575.0
572,Covid ,370.0
573,Dry & Packaged Food ,170.0
574,Beverages ,255.0
575,Covid-19 Safety Gears,3199.0
576,Covid-19 Safety Gears,1150.0
577,Dry & Packaged Food ,196.0
578,Beverages ,245.0
579,Covid-19 Safety Gears,200.0
580,Covid ,999.0
581,Beverages ,235.0
582,Dry & Packaged Food ,1000.0
583,Covid-19 Safety Gears,545.0
584,Covid-19 Safety Gears,1650.0
585,Cooking Essentials ,75.0
586,Cooking Essentials ,160.0
587,Covid ,4470.0
588,Covid ,4130.0
589,Covid ,3675.0
590,Covid ,4130.0
591,Covid ,350.0
592,Covid-19 Safety Gears,399.0
593,Covid-19 Safety Gears,130.0
594,Covid ,199.0
595,Cooking Essentials ,175.0
596,Cooking Essentials ,200.0
597,Cooking Essentials ,160.0
598,Cooking Essentials ,175.0
599,Cooking Essentials ,110.0
600,Cooking Essentials ,710.0
601,Cooking Essentials ,130.0
602,Beverages ,245.0
603,Beverages ,235.0
604,Beverages ,235.0
605,Covid ,42000.0
606,Covid ,42000.0
607,Covid ,4200.0
608,Covid ,840.0
609,Covid ,18000.0
610,Covid ,800.0
611,Covid ,2000.0
612,Covid ,5900.0
613,Covid ,3900.0
614,Covid-19 Safety Gears,89990.0
615,Hygiene & Cleaning Essentials,255.0
616,Hygiene & Cleaning Essentials,310.0
617,Hygiene Essentials,297.0
618,Hygiene & Cleaning Essentials,159.0
619,Hygiene & Cleaning Essentials,125.0
620,Dry & Packaged Food ,110.0
621,Beverages ,210.0
622,Dry & Packaged Food ,150.0
623,Dry & Packaged Food ,140.0
624,Dry & Packaged Food ,135.0
625,Covid ,84000.0
626,Covid ,48000.0
627,Covid ,98000.0
628,Covid-19 Safety Gears,340.0
629,Covid ,1200.0
630,Covid ,550.0
631,Covid ,2100.0
632,Covid ,999.0
633,Covid ,550.0
634,Covid-19 Safety Gears,2376.0
635,Covid-19 Safety Gears,441.0
636,Dry & Packaged Food ,110.0
637,Dry & Packaged Food ,110.0
638,Sweets & Chocolates,150.0
639,Sweets & Chocolates,150.0
640,Sweets & Chocolates,130.0
641,Sweets & Chocolates,140.0
642,Sweets & Chocolates,140.0
643,Sweets & Chocolates,140.0
644,Sweets & Chocolates,275.0
645,Dry & Packaged Food ,300.0
646,Dry & Packaged Food ,350.0
647,Dry & Packaged Food ,385.0
648,Covid-19 Safety Gears,174.0
649,Covid-19 Safety Gears,303.0
650,Covid-19 Safety Gears,57.0
651,Covid-19 Safety Gears,333.0
652,Covid-19 Safety Gears,1832.0
653,Dry & Packaged Food ,315.0
654,Dry & Packaged Food ,195.0
